id,name,category,description,cpu_effect,memory_effect,disk_effect,network_effect,service_effect,alert_effect,base_success_rate,cooldown,skill_tag
A001,サーバ再起動,システム操作,問題のあるサーバを再起動して初期状態に戻す,-30,-25,0,0,0,0,0.8,2,運用/Linux
A002,ログローテーション実行,メンテナンス,肥大化したログファイルの削除・圧縮を行う,0,0,-35,0,0,0,0.95,1,運用/ログ管理
A003,スケールアウト実行,リソース管理,新しいEC2インスタンスをAutoscalingグループに追加,-20,-15,0,-10,+1,0,0.85,3,AWS/スケーリング
A004,WAF設定変更,セキュリティ対応,不正アクセスを検出し遮断するルールの追加,0,0,0,-30,0,-2,0.75,1,セキュリティ/WAF
A005,データベース接続再構成,DB対応,コネクションプール設定の最適化と再起動,-10,-20,0,0,0,-1,0.7,2,DB/チューニング
A006,障害対応チーム招集,コミュニケーション,関係者へのSlack/Teams緊急通知と対応依頼,0,0,0,0,0,+1,1.0,0,マネジメント/コミュニケーション
A007,ロードバランサー設定調整,ネットワーク対応,トラフィック分散ルールの最適化とヘルスチェック調整,-15,0,0,-30,0,-1,0.8,2,AWS/ELB
A008,バックアップからのリストア,障害対応,昨夜のフルバックアップから対象システムを復元,+15,+10,-15,+10,+1,-3,0.7,4,バックアップ/復旧
A009,ファイアウォールルール一時緩和,セキュリティ対応,特定のIPからのアクセス許可など一時的なルール変更,0,0,0,-25,0,0,0.85,1,セキュリティ/FW
A010,キャッシュクリア実行,パフォーマンス対応,Redisなどのキャッシュサーバの内容をクリア,-25,-30,0,-10,0,-1,0.9,1,Redis/キャッシュ
A011,DNSレコード更新,ネットワーク対応,DNSレコードの修正と反映待機,0,0,0,-15,+1,0,0.9,3,DNS/ネームサーバ
A012,SSL証明書緊急更新,セキュリティ対応,期限切れ証明書の緊急更新と再配置,+5,0,0,-5,+1,-1,0.85,2,SSL/証明書
A013,コンテナサービス再起動,コンテナ対応,Kubernetesデプロイメントの再起動,-20,-25,0,-5,0,-1,0.85,2,Kubernetes/Docker
A014,メモリダンプ取得と解析,トラブルシューティング,問題プロセスのメモリダンプを取得して原因特定,+10,+20,+15,0,0,+1,0.7,3,デバッグ/メモリ解析
A015,サーバログ集中解析,トラブルシューティング,複数サーバのログを集約して関連性を分析,+15,+5,+5,+5,0,-2,0.8,2,ログ解析/調査
A016,ネットワーク機器再起動,ネットワーク対応,スイッチやルーターの再起動による復旧,0,0,0,-40,+1,-1,0.75,3,ネットワーク/機器操作
A017,設定変更のロールバック,構成管理,最近の設定変更を元に戻す,-15,-15,-10,-15,+1,-2,0.9,2,変更管理/構成管理
A018,一時的リダイレクト設定,障害対応,メンテナンスページへのリダイレクト設定,-30,-20,0,-40,0,-1,0.95,1,Web/DNS
A019,リージョン切り替え実行,クラウド対応,クラウドサービスのリージョン間フェイルオーバー,-10,-10,-5,-20,+2,-3,0.6,5,AWS/マルチリージョン
A020,障害報告の作成,マネジメント,経営層・顧客向けの状況報告資料作成,0,0,+5,0,0,-2,1.0,0,マネジメント/報告 
